Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Deni Avdija,SF,23,WAS,13,13,27.5,5.1,9.5,.532,1.2,3.0,.410,3.8,6.5,.588,.597,1.3,1.7,.773,1.3,4.2,5.5,3.6,1.2,0.4,1.5,2.6,12.7
Deandre Ayton,C,25,POR,13,13,31.5,5.8,10.3,.567,0.0,0.0,,5.8,10.3,.567,.567,0.5,0.7,.778,3.1,7.9,11.0,1.4,1.5,0.8,2.0,2.8,12.2
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
Marvin Bagley III,C,24,DET,15,5,19.5,4.3,7.3,.591,0.1,0.3,.200,4.3,7.0,.610,.595,2.5,2.8,.905,1.8,3.3,5.1,1.3,0.1,0.5,1.3,1.7,11.3
Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
LaMelo Ball,PG,22,CHO,13,13,34.4,8.9,20.1,.444,3.5,8.8,.391,5.5,11.2,.486,.531,4.0,4.6,.867,1.6,4.0,5.6,8.3,1.5,0.3,4.2,3.8,25.3
Mo Bamba,C,25,PHI,5,0,2.4,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.6,0.6,1.000,0.4,0.8,1.2,0.0,0.2,0.4,0.6,0.6,1.4
Paolo Banchero,PF,21,ORL,13,13,33.2,6.5,14.0,.467,1.1,2.8,.389,5.5,11.2,.486,.505,4.5,6.9,.656,1.5,5.3,6.8,4.5,1.3,0.5,3.4,2.3,18.7
Desmond Bane,SG,25,MEM,13,13,34.8,9.4,20.6,.455,3.6,9.6,.376,5.8,11.0,.524,.543,3.5,4.0,.865,0.9,3.4,4.3,4.8,1.4,0.8,2.5,3.1,25.8
Dalano Banton,PG,24,BOS,5,0,7.2,1.2,2.6,.462,0.0,0.6,.000,1.2,2.0,.600,.462,0.6,0.6,1.000,0.8,1.4,2.2,0.4,0.4,0.0,0.2,1.0,3.0
Dominick Barlow,PF,20,SAS,5,0,4.6,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,.400,0.4,0.8,.500,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.2
Harrison Barnes,PF,31,SAC,13,13,30.7,3.8,8.3,.454,1.8,4.9,.359,2.0,3.4,.591,.560,2.2,2.7,.800,0.7,2.3,3.0,1.5,0.8,0.1,0.8,1.1,11.5
Scottie Barnes,SG,22,TOR,13,13,34.6,7.6,15.9,.478,2.0,5.1,.394,5.6,10.8,.518,.541,2.8,3.8,.755,2.7,6.2,8.9,6.0,1.5,1.5,2.5,2.2,20.1
RJ Barrett,SG,23,NYK,9,9,29.6,7.1,15.7,.454,2.7,5.4,.490,4.4,10.2,.435,.539,3.9,4.7,.833,0.7,3.1,3.8,2.9,0.7,0.2,2.2,1.4,20.8
Charles Bassey,C,23,SAS,14,0,11.2,1.6,2.2,.710,0.0,0.1,.000,1.6,2.1,.733,.710,0.1,0.2,.667,1.4,2.8,4.1,1.0,0.6,0.7,0.7,1.5,3.3
Emoni Bates,SF,20,CLE,6,0,6.2,0.5,1.7,.300,0.3,1.2,.286,0.2,0.5,.333,.400,0.2,0.3,.500,0.2,1.2,1.3,0.2,0.0,0.2,0.2,0.2,1.5
Keita Bates-Diop,SF,28,PHO,10,4,21.1,2.3,5.3,.434,0.7,2.2,.318,1.6,3.1,.516,.500,0.9,1.3,.692,1.2,2.4,3.6,1.1,0.7,1.1,0.1,1.5,6.2
Nicolas Batum,PF,35,TOT,8,2,22.6,1.8,3.0,.583,1.4,2.6,.524,0.4,0.4,1.000,.813,0.0,0.0,,0.6,2.6,3.3,1.5,0.8,1.0,0.3,2.0,4.9
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,5,2,25.4,2.2,3.2,.688,1.8,2.8,.643,0.4,0.4,1.000,.969,0.0,0.0,,1.0,2.8,3.8,1.4,0.6,0.8,0.2,2.2,6.2
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,.391,1.7,5.0,.333,4.3,10.3,.419,.446,3.7,5.3,.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,14,14,27.1,3.9,7.9,.495,2.7,5.8,.469,1.2,2.1,.567,.667,0.6,0.9,.667,0.4,3.4,3.8,1.4,0.9,0.0,0.6,2.1,11.1
MarJon Beauchamp,SF,23,MIL,10,0,16.7,2.6,5.1,.510,1.1,2.5,.440,1.5,2.6,.577,.618,0.5,0.8,.625,0.8,1.5,2.3,1.0,0.3,0.1,0.7,1.7,6.8
Dāvis Bertāns,PF,31,OKC,4,0,9.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,1.5,1.5,1.000,0.0,0.8,0.8,0.8,0.3,0.3,0.0,0.8,3.0
Patrick Beverley,PG,35,PHI,13,0,15.6,0.8,2.7,.314,0.2,1.3,.118,0.7,1.4,.500,.343,0.2,0.4,.600,0.8,2.1,2.9,1.9,0.4,0.4,0.5,2.0,2.1
Saddiq Bey,SF,24,ATL,12,3,27.9,4.5,9.1,.495,1.8,4.6,.382,2.8,4.5,.611,.592,1.5,1.8,.857,2.0,3.4,5.4,1.2,1.1,0.3,1.5,1.3,12.3
Goga Bitadze,C,24,ORL,11,8,17.7,2.6,4.4,.604,0.0,0.3,.000,2.6,4.1,.644,.604,1.8,2.5,.741,2.1,3.4,5.5,1.1,0.9,1.4,0.5,2.3,7.1
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,8,7,24.3,3.1,5.3,.595,0.0,0.0,,3.1,5.3,.595,.595,1.4,2.3,.611,4.0,4.4,8.4,1.9,0.4,1.0,0.6,3.5,7.6
Anthony Black,PG,20,ORL,11,7,19.5,2.1,4.1,.511,0.5,1.5,.294,1.6,2.5,.643,.567,1.0,1.5,.688,0.7,1.5,2.2,1.4,0.4,0.5,1.1,2.0,5.6
Leaky Black,SF,24,CHO,3,0,4.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.7,0.0,0.3,1.7
Bogdan Bogdanović,SG,31,ATL,12,1,26.0,5.3,12.2,.432,2.9,8.3,.354,2.3,3.9,.596,.551,1.2,1.3,.933,0.3,2.3,2.7,3.0,1.6,0.4,1.3,2.0,14.6
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7
Marques Bolden,C,25,MIL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Devin Booker,SG,27,PHO,5,5,34.0,10.0,19.6,.510,2.8,6.4,.438,7.2,13.2,.545,.582,6.0,6.4,.938,0.8,4.8,5.6,9.8,0.2,0.2,3.4,3.6,28.8
Chris Boucher,PF,31,TOR,11,0,16.8,2.5,5.2,.474,0.8,1.8,.450,1.6,3.4,.486,.553,1.8,2.3,.800,1.6,3.7,5.4,0.5,0.3,0.7,0.5,2.4,7.5
Jamaree Bouyea,PG,24,POR,5,0,11.2,1.0,4.2,.238,0.0,1.6,.000,1.0,2.6,.385,.238,0.0,0.0,,0.4,1.4,1.8,1.6,0.0,0.0,1.4,0.6,2.0
Malaki Branham,SG,20,SAS,14,3,20.6,3.6,8.4,.436,0.9,3.1,.295,2.7,5.2,.521,.491,0.6,0.6,.889,0.1,1.1,1.3,2.4,0.4,0.1,1.1,1.3,8.8
Christian Braun,SG,22,DEN,14,0,21.1,3.7,7.6,.491,0.7,1.9,.385,3.0,5.7,.525,.538,1.3,1.9,.667,1.0,3.4,4.4,2.0,0.4,0.3,0.6,1.5,9.4
Mikal Bridges,SF,27,BRK,13,13,34.0,7.5,16.2,.464,1.9,6.2,.313,5.6,10.1,.557,.524,3.3,3.9,.843,1.2,4.6,5.8,3.8,1.1,0.4,2.5,1.8,20.3
Miles Bridges,SF,25,CHO,3,1,36.7,5.7,12.7,.447,1.7,4.3,.385,4.0,8.3,.480,.513,3.7,4.0,.917,0.0,8.0,8.0,4.0,1.3,0.3,1.3,1.3,16.7
Oshae Brissett,SF,25,BOS,7,0,12.0,0.4,2.4,.176,0.1,1.3,.111,0.3,1.1,.250,.206,1.0,1.4,.700,1.1,1.9,3.0,0.4,0.6,0.0,0.3,1.0,2.0
Malcolm Brogdon,PG,31,POR,8,3,27.8,6.1,15.1,.405,2.0,5.9,.340,4.1,9.3,.446,.471,3.0,3.8,.800,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
Armoni Brooks,PG,25,BRK,3,0,12.0,2.0,4.0,.500,1.7,3.0,.556,0.3,1.0,.333,.708,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.0,5.7
Dillon Brooks,SF,28,HOU,12,12,31.8,5.0,9.8,.508,2.0,4.0,.500,3.0,5.8,.514,.610,1.9,2.3,.821,0.7,3.3,3.9,1.9,1.3,0.1,1.8,3.9,13.9
Bruce Brown,SG,27,IND,12,12,30.8,4.3,9.2,.464,1.4,3.7,.386,2.8,5.5,.515,.541,1.3,1.5,.889,0.7,3.9,4.6,2.6,0.9,0.4,0.9,2.1,11.3
Jaylen Brown,SF,27,BOS,13,13,33.8,8.0,17.8,.448,2.5,7.2,.340,5.5,10.6,.522,.517,2.8,3.9,.725,0.5,4.5,5.0,3.2,1.0,0.5,2.5,2.9,21.3
Kobe Brown,PF,24,LAC,6,0,8.7,1.2,2.3,.500,0.5,1.3,.375,0.7,1.0,.667,.607,0.0,0.0,,0.3,1.0,1.3,0.3,0.2,0.2,0.2,1.3,2.8
Moses Brown,C,24,POR,2,0,6.5,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.0,1.0,.000,1.5,0.5,2.0,0.5,0.5,0.5,0.0,0.5,3.0
Troy Brown Jr.,SF,24,MIN,9,0,8.3,0.4,2.0,.222,0.1,1.1,.100,0.3,0.9,.375,.250,1.3,1.3,1.000,0.4,1.9,2.3,0.7,0.3,0.0,0.3,0.4,2.3
Jalen Brunson,PG,27,NYK,14,14,35.2,8.4,19.1,.438,3.2,6.7,.479,5.1,12.4,.416,.522,4.3,4.9,.870,0.7,2.7,3.4,5.1,0.8,0.0,2.0,1.9,24.2
Thomas Bryant,C,26,MIA,10,1,12.5,2.1,4.0,.525,0.0,0.2,.000,2.1,3.8,.553,.525,1.0,1.3,.769,1.1,2.6,3.7,0.6,0.4,0.3,1.0,1.2,5.2
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,6,0,10.0,0.3,1.7,.200,0.3,1.5,.222,0.0,0.2,.000,.300,0.0,0.0,,0.2,1.8,2.0,0.5,0.2,0.2,0.3,0.7,1.0
Alec Burks,SG,32,DET,9,0,23.2,3.6,9.6,.372,2.6,6.3,.404,1.0,3.2,.310,.506,3.6,4.2,.842,0.7,2.4,3.1,2.4,0.4,0.3,0.3,2.0,13.2
Jared Butler,SG,23,WAS,4,0,3.0,0.3,1.0,.250,0.3,0.8,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.8
Jimmy Butler,PF,34,MIA,12,12,33.4,6.7,14.1,.473,1.1,2.6,.419,5.6,11.5,.486,.512,7.0,8.0,.875,2.2,3.2,5.3,3.7,1.3,0.5,1.8,0.8,21.4
Jamal Cain,PF,24,MIA,3,0,10.0,1.3,3.0,.444,0.0,1.3,.000,1.3,1.7,.800,.444,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.3,0.7,2.7
Kentavious Caldwell-Pope,SG,30,DEN,14,14,33.8,3.6,7.9,.455,1.6,3.9,.426,1.9,4.0,.482,.559,1.4,1.6,.909,0.4,1.5,1.9,2.4,1.6,0.6,1.2,2.2,10.2
Toumani Camara,PF,23,POR,13,4,24.5,2.0,5.6,.356,0.6,2.6,.235,1.4,3.0,.462,.411,1.0,1.5,.684,1.8,2.5,4.3,1.2,0.8,0.7,1.1,2.5,5.6
Clint Capela,C,29,ATL,12,12,25.4,4.3,7.1,.600,0.0,0.0,,4.3,7.1,.600,.600,1.7,2.6,.645,3.8,6.0,9.8,1.0,0.8,1.6,0.7,2.3,10.2
Jevon Carter,PG,28,CHI,15,0,14.4,2.3,5.6,.405,1.5,3.7,.411,0.7,1.9,.393,.542,0.0,0.1,.000,0.1,0.5,0.5,1.1,0.5,0.3,0.7,1.3,6.1
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,13,3,24.2,3.4,5.8,.587,1.6,3.2,.500,1.8,2.5,.697,.727,1.5,1.9,.760,1.3,2.2,3.5,2.4,1.5,0.9,1.2,2.7,9.8
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,9,4,15.0,1.6,5.6,.280,1.0,3.6,.281,0.6,2.0,.278,.370,0.6,0.7,.833,0.3,1.3,1.7,1.0,0.7,0.9,1.0,0.6,4.7
Max Christie,SG,20,LAL,9,0,12.6,1.0,3.3,.300,0.2,1.2,.182,0.8,2.1,.368,.333,0.4,0.6,.800,0.2,2.3,2.6,0.6,0.3,0.1,0.8,1.0,2.7
Sidy Cissoko,SF,19,SAS,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan Clarkson,SG,31,UTA,13,13,32.4,7.2,16.9,.427,1.9,5.9,.325,5.3,11.0,.483,.484,3.2,3.8,.837,1.5,2.1,3.6,4.8,1.0,0.2,3.1,1.7,19.5
Nic Claxton,C,24,BRK,5,5,25.0,4.6,7.0,.657,0.0,0.0,,4.6,7.0,.657,.657,1.0,2.0,.500,2.2,6.0,8.2,1.8,0.4,2.6,0.8,2.4,10.2
Amir Coffey,SF,26,LAC,6,0,6.8,0.3,1.5,.222,0.0,0.3,.000,0.3,1.2,.286,.222,0.7,0.7,1.000,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.3,1.3
John Collins,PF,26,UTA,13,13,32.4,5.5,11.0,.503,1.6,3.6,.447,3.9,7.4,.531,.577,2.2,3.1,.725,2.8,6.1,8.9,0.9,0.7,1.0,1.2,3.5,14.9
Zach Collins,C,26,SAS,14,14,29.7,5.7,10.6,.537,1.1,3.9,.296,4.6,6.8,.674,.591,2.4,3.1,.767,1.9,4.2,6.1,3.7,0.8,0.9,2.8,3.5,14.9
Mike Conley,PG,36,MIN,13,13,28.8,3.8,7.8,.485,1.9,4.6,.417,1.8,3.2,.585,.609,1.1,1.1,1.000,0.6,2.3,2.9,5.1,0.8,0.2,0.8,1.9,10.5
Pat Connaughton,SF,31,MIL,14,0,23.9,2.2,5.3,.419,1.2,3.5,.347,1.0,1.8,.560,.534,0.6,0.7,.800,0.7,2.9,3.6,2.4,0.5,0.1,0.7,1.2,6.2
Bilal Coulibaly,SF,19,WAS,13,1,26.1,3.2,6.1,.519,1.4,3.0,.462,1.8,3.1,.575,.633,0.8,1.4,.556,0.5,3.5,3.9,1.9,1.0,0.8,1.2,1.9,8.5
Robert Covington,SF-PF,33,TOT,13,6,17.1,1.5,3.7,.417,0.5,2.2,.250,1.0,1.5,.650,.490,0.7,0.8,.900,1.1,1.7,2.8,1.0,1.6,0.5,0.2,1.8,4.3
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,10,3,15.3,1.7,3.9,.436,0.5,2.0,.250,1.2,1.9,.632,.500,0.8,0.8,1.000,1.2,1.6,2.8,0.6,1.5,0.5,0.3,1.6,4.7
Torrey Craig,SF,33,CHI,15,7,22.3,2.0,5.0,.400,0.7,2.5,.297,1.3,2.5,.500,.473,0.3,0.3,1.000,1.8,3.3,5.1,1.3,0.7,0.3,0.5,2.5,5.1
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,15,15,35.5,7.9,19.6,.405,1.9,6.0,.322,6.0,13.6,.441,.454,3.6,4.1,.871,0.6,3.1,3.7,7.3,0.8,0.3,4.8,3.2,21.4
Seth Curry,SG,33,DAL,10,0,10.1,1.2,2.8,.429,0.4,1.5,.267,0.8,1.3,.615,.500,0.6,0.7,.857,0.3,1.0,1.3,0.8,0.6,0.1,0.4,0.6,3.4
Stephen Curry,PG,35,GSW,13,13,33.2,9.3,19.2,.484,5.5,12.2,.453,3.8,7.0,.538,.628,6.2,6.7,.931,0.8,4.1,4.8,3.6,0.8,0.2,3.6,1.6,30.4
Dyson Daniels,PG,20,NOP,14,7,27.5,3.4,7.2,.465,1.0,3.0,.333,2.4,4.2,.559,.535,0.8,1.4,.579,1.1,3.8,4.9,3.9,1.4,0.4,1.4,2.0,8.5
Anthony Davis,C,30,LAL,13,13,35.7,8.2,15.5,.530,0.2,0.8,.300,8.0,14.8,.542,.537,5.3,6.2,.863,3.1,8.6,11.7,3.3,0.9,3.3,2.2,3.2,22.0
Johnny Davis,SG,21,WAS,8,0,8.9,1.8,3.3,.538,0.1,0.3,.500,1.6,3.0,.542,.558,0.3,0.4,.667,0.4,0.8,1.1,0.4,0.6,0.1,0.3,0.8,3.9
DeMar DeRozan,SF,34,CHI,14,14,35.3,7.4,16.5,.450,0.9,2.4,.382,6.5,14.1,.462,.478,5.2,6.4,.811,1.0,2.2,3.2,4.4,1.0,0.9,1.1,1.9,21.0
Moussa Diabaté,C,22,LAC,7,0,7.0,1.3,2.3,.563,0.0,0.0,,1.3,2.3,.563,.563,0.9,1.1,.750,1.7,0.7,2.4,0.6,0.4,0.0,0.3,0.6,3.4
Gradey Dick,SG,20,TOR,13,1,15.4,1.2,4.5,.271,0.7,2.9,.237,0.5,1.6,.333,.347,0.9,0.9,1.000,0.5,0.9,1.5,1.0,0.3,0.0,0.8,1.7,4.1
Ousmane Dieng,PF,20,OKC,10,0,11.3,1.3,3.4,.382,0.7,2.5,.280,0.6,0.9,.667,.485,0.3,0.4,.750,0.5,1.5,2.0,0.9,0.1,0.0,0.4,0.6,3.6
Spencer Dinwiddie,PG,30,BRK,12,12,28.4,3.9,9.4,.416,2.3,5.9,.380,1.7,3.5,.476,.535,2.2,3.2,.684,0.3,3.2,3.5,5.3,0.3,0.2,1.4,1.4,12.3
Donte DiVincenzo,SG,27,NYK,14,2,21.0,3.1,7.5,.419,1.9,5.1,.380,1.2,2.4,.500,.548,0.6,1.0,.643,1.0,2.1,3.1,2.0,1.0,0.4,1.1,1.6,8.9
Luka Dončić,PG,24,DAL,14,14,34.6,10.4,20.9,.500,4.1,9.6,.422,6.4,11.2,.567,.598,5.6,7.6,.745,0.7,7.3,8.0,8.1,1.1,0.4,4.1,1.6,30.6
Luguentz Dort,SF,24,OKC,14,14,28.6,3.8,7.9,.477,2.0,4.4,.459,1.8,3.6,.500,.604,2.1,2.6,.811,1.1,3.1,4.2,1.1,1.1,0.9,0.9,2.6,11.7
Ayo Dosunmu,SG,24,CHI,13,0,14.8,1.8,3.9,.471,0.7,1.8,.375,1.2,2.1,.556,.559,0.7,0.8,.900,0.5,1.0,1.5,1.2,0.4,0.1,0.5,1.2,5.1
Andre Drummond,C,30,CHI,15,0,13.8,2.5,4.5,.559,0.0,0.1,.000,2.5,4.5,.567,.559,1.1,1.7,.640,2.5,3.7,6.2,0.7,1.3,0.3,1.1,1.5,6.1
Chris Duarte,SF,26,SAC,13,1,14.5,1.6,4.2,.382,0.9,2.6,.353,0.7,1.6,.429,.491,0.6,0.8,.727,0.1,1.8,1.9,1.1,0.7,0.1,0.6,2.7,4.8
Kris Dunn,PG,29,UTA,10,0,10.3,1.3,3.2,.406,0.3,0.8,.375,1.0,2.4,.417,.453,0.4,0.6,.667,0.3,1.5,1.8,2.0,0.5,0.0,1.1,1.3,3.3
Kevin Durant,PF,35,PHO,13,13,37.2,10.8,20.5,.528,2.3,4.7,.492,8.5,15.8,.539,.584,7.4,8.5,.873,0.4,6.8,7.2,5.5,0.8,1.2,3.9,1.7,31.4
Jalen Duren,C,20,DET,8,8,28.9,5.8,9.3,.622,0.0,0.1,.000,5.8,9.1,.630,.622,1.1,1.5,.750,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6
Tari Eason,PF,22,HOU,5,0,17.2,3.0,6.6,.455,0.6,1.8,.333,2.4,4.8,.500,.500,0.0,0.4,.000,1.6,4.6,6.2,0.8,0.4,1.2,0.6,2.0,6.6
Anthony Edwards,SG,22,MIN,13,13,35.3,9.5,20.4,.464,2.5,6.6,.372,7.0,13.8,.508,.525,4.4,5.2,.838,0.8,5.1,5.9,5.1,1.4,0.3,3.5,1.8,25.8
Kessler Edwards,SF,23,SAC,10,0,6.0,0.2,1.1,.182,0.2,0.8,.250,0.0,0.3,.000,.273,0.1,0.2,.500,0.1,0.9,1.0,0.4,0.1,0.2,0.1,0.7,0.7
Keon Ellis,SG,24,SAC,9,2,12.1,1.1,2.9,.385,0.6,2.2,.250,0.6,0.7,.833,.481,0.7,1.2,.545,0.4,1.3,1.8,0.9,0.7,0.4,0.7,1.1,3.4
Joel Embiid,C,29,PHI,13,13,34.1,10.7,21.3,.502,1.1,3.4,.318,9.6,17.9,.536,.527,9.5,10.7,.885,3.2,8.0,11.2,6.2,0.9,1.5,3.5,2.7,31.9
Drew Eubanks,C,26,PHO,13,0,18.8,3.2,4.9,.656,0.2,0.2,1.000,3.1,4.8,.645,.672,1.2,1.5,.789,1.4,3.2,4.5,1.8,0.2,1.2,1.2,2.0,7.8
Dante Exum,PG,28,DAL,13,0,9.8,2.0,3.8,.520,0.2,0.9,.250,1.8,2.9,.605,.550,0.3,0.5,.571,0.3,1.8,2.1,1.5,0.2,0.2,0.2,1.0,4.5
Bruno Fernando,C,25,ATL,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
Dorian Finney-Smith,PF,30,BRK,13,12,30.2,4.2,8.9,.466,2.8,6.3,.451,1.3,2.6,.500,.625,0.1,0.2,.333,1.8,3.3,5.2,1.4,0.3,0.6,1.1,2.5,11.2
Malachi Flynn,PG,25,TOR,13,0,16.9,2.1,4.8,.435,1.0,2.7,.371,1.1,2.1,.519,.540,0.5,0.8,.700,0.5,1.3,1.8,2.5,0.8,0.1,1.1,1.5,5.7
