Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Marvin Bagley III,C,24,DET,13,4,19.5,4.2,7.2,.591,0.1,0.4,.200,4.2,6.8,.614,.597,2.6,2.8,.919,1.8,3.4,5.2,1.2,0.1,0.6,1.5,1.7,11.2
Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
LaMelo Ball,PG,22,CHO,12,12,33.8,8.4,19.5,.432,3.3,8.7,.385,5.1,10.8,.469,.517,4.3,4.9,.864,1.6,3.8,5.3,8.3,1.5,0.3,4.1,3.8,24.4
Mo Bamba,C,25,PHI,4,0,2.3,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,0.5,1.000,0.5,1.0,1.5,0.0,0.0,0.5,0.8,0.8,0.5
Paolo Banchero,PF,21,ORL,12,12,33.8,6.3,14.0,.452,1.2,3.0,.389,5.2,11.0,.470,.494,4.4,6.9,.639,1.5,5.6,7.1,4.8,1.3,0.4,3.6,2.4,18.3
Desmond Bane,SG,25,MEM,12,12,34.7,9.3,20.1,.461,3.3,9.3,.360,5.9,10.8,.546,.544,3.7,4.3,.863,0.8,3.7,4.5,4.5,1.4,0.8,2.6,3.2,25.5
Dalano Banton,PG,24,BOS,5,0,7.2,1.2,2.6,.462,0.0,0.6,.000,1.2,2.0,.600,.462,0.6,0.6,1.000,0.8,1.4,2.2,0.4,0.4,0.0,0.2,1.0,3.0
Dominick Barlow,PF,20,SAS,5,0,4.6,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,.400,0.4,0.8,.500,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.2
Harrison Barnes,PF,31,SAC,11,11,30.5,3.7,8.0,.466,1.7,4.6,.373,2.0,3.4,.595,.574,1.8,2.4,.769,0.6,2.2,2.8,1.3,0.8,0.1,0.7,1.2,11.0
Scottie Barnes,SG,22,TOR,12,12,35.4,7.7,16.3,.469,1.9,5.2,.371,5.8,11.2,.515,.528,3.1,4.1,.755,2.8,6.3,9.1,5.8,1.6,1.6,2.4,2.3,20.3
RJ Barrett,SG,23,NYK,8,8,30.5,7.5,16.0,.469,2.6,5.6,.467,4.9,10.4,.470,.551,4.0,4.8,.842,0.5,2.9,3.4,3.1,0.6,0.3,2.0,1.0,21.6
Charles Bassey,C,23,SAS,13,0,10.7,1.6,2.2,.750,0.0,0.1,.000,1.6,2.1,.778,.750,0.2,0.2,.667,1.2,2.4,3.5,0.8,0.6,0.5,0.5,1.5,3.4
Emoni Bates,SF,20,CLE,5,0,6.4,0.6,1.8,.333,0.4,1.2,.333,0.2,0.6,.333,.444,0.2,0.4,.500,0.2,1.2,1.4,0.2,0.0,0.2,0.2,0.2,1.8
Keita Bates-Diop,SF,28,PHO,9,4,20.8,2.3,5.2,.447,0.7,2.0,.333,1.7,3.2,.517,.511,0.9,1.3,.667,1.2,2.7,3.9,1.1,0.7,1.0,0.1,1.3,6.2
Nicolas Batum,PF,35,TOT,7,1,22.4,1.9,3.3,.565,1.4,2.9,.500,0.4,0.4,1.000,.783,0.0,0.0,,0.7,2.6,3.3,1.3,0.9,1.1,0.3,2.0,5.1
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,4,1,25.8,2.5,3.8,.667,2.0,3.3,.615,0.5,0.5,1.000,.933,0.0,0.0,,1.3,2.8,4.0,1.0,0.8,1.0,0.3,2.3,7.0
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,.391,1.7,5.0,.333,4.3,10.3,.419,.446,3.7,5.3,.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,13,13,26.6,3.8,7.8,.490,2.7,5.8,.461,1.2,2.0,.577,.662,0.4,0.7,.556,0.4,3.3,3.7,1.3,0.9,0.0,0.6,2.3,10.8
MarJon Beauchamp,SF,23,MIL,10,0,16.7,2.6,5.1,.510,1.1,2.5,.440,1.5,2.6,.577,.618,0.5,0.8,.625,0.8,1.5,2.3,1.0,0.3,0.1,0.7,1.7,6.8
Dāvis Bertāns,PF,31,OKC,3,0,8.3,0.3,1.7,.200,0.3,1.7,.200,0.0,0.0,,.300,2.0,2.0,1.000,0.0,0.3,0.3,0.3,0.3,0.0,0.0,1.0,3.0
Patrick Beverley,PG,35,PHI,12,0,15.9,0.8,2.6,.323,0.2,1.3,.125,0.7,1.3,.533,.355,0.3,0.4,.600,0.9,2.2,3.1,1.9,0.4,0.4,0.4,2.1,2.1
Saddiq Bey,SF,24,ATL,12,3,27.9,4.5,9.1,.495,1.8,4.6,.382,2.8,4.5,.611,.592,1.5,1.8,.857,2.0,3.4,5.4,1.2,1.1,0.3,1.5,1.3,12.3
Goga Bitadze,C,24,ORL,10,7,17.2,2.6,4.3,.605,0.0,0.3,.000,2.6,4.0,.650,.605,1.8,2.5,.720,2.2,3.0,5.2,1.0,1.0,1.1,0.5,2.3,7.0
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,7,6,25.7,3.4,5.7,.600,0.0,0.0,,3.4,5.7,.600,.600,1.6,2.6,.611,4.4,4.9,9.3,2.1,0.4,1.0,0.7,3.3,8.4
Anthony Black,PG,20,ORL,10,6,19.0,2.2,4.0,.550,0.5,1.5,.333,1.7,2.5,.680,.613,0.6,1.0,.600,0.8,1.1,1.9,1.4,0.4,0.3,1.0,1.7,5.5
Leaky Black,SF,24,CHO,3,0,4.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.7,0.0,0.3,1.7
Bogdan Bogdanović,SG,31,ATL,12,1,26.0,5.3,12.2,.432,2.9,8.3,.354,2.3,3.9,.596,.551,1.2,1.3,.933,0.3,2.3,2.7,3.0,1.6,0.4,1.3,2.0,14.6
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7
Marques Bolden,C,25,MIL,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Devin Booker,SG,27,PHO,4,4,32.5,10.5,19.3,.545,3.0,6.3,.480,7.5,13.0,.577,.623,5.5,6.0,.917,0.8,5.0,5.8,10.3,0.3,0.0,3.5,3.3,29.5
Chris Boucher,PF,31,TOR,10,0,16.7,2.2,5.0,.440,0.6,1.6,.375,1.6,3.4,.471,.500,1.9,2.2,.864,1.7,3.6,5.3,0.5,0.2,0.7,0.6,2.2,6.9
Jamaree Bouyea,PG,24,POR,4,0,10.0,1.0,4.3,.235,0.0,1.5,.000,1.0,2.8,.364,.235,0.0,0.0,,0.3,1.5,1.8,0.8,0.0,0.0,1.3,0.8,2.0
Malaki Branham,SG,20,SAS,13,3,20.6,3.6,8.5,.423,0.8,3.2,.268,2.8,5.4,.514,.473,0.6,0.7,.889,0.2,1.2,1.4,2.5,0.5,0.1,1.0,1.2,8.7
Christian Braun,SG,22,DEN,12,0,19.9,3.4,7.1,.482,0.6,1.9,.304,2.8,5.2,.548,.524,1.3,1.9,.652,1.1,3.4,4.5,2.2,0.4,0.3,0.5,1.5,8.7
Mikal Bridges,SF,27,BRK,12,12,34.3,7.5,16.6,.452,1.9,6.5,.295,5.6,10.1,.554,.510,3.6,4.3,.843,1.3,4.9,6.3,3.8,1.2,0.4,2.5,1.9,20.5
Miles Bridges,SF,25,CHO,2,0,32.5,7.0,12.5,.560,1.5,3.0,.500,5.5,9.5,.579,.620,2.5,3.0,.833,0.0,4.5,4.5,3.5,1.5,0.5,1.5,1.5,18.0
Oshae Brissett,SF,25,BOS,6,0,11.2,0.5,2.8,.176,0.2,1.5,.111,0.3,1.3,.250,.206,1.0,1.3,.750,1.0,1.3,2.3,0.3,0.7,0.0,0.3,0.8,2.2
Malcolm Brogdon,PG,31,POR,8,3,27.8,6.1,15.1,.405,2.0,5.9,.340,4.1,9.3,.446,.471,3.0,3.8,.800,1.0,3.8,4.8,5.5,0.8,0.0,1.6,1.4,17.3
Armoni Brooks,PG,25,BRK,3,0,12.0,2.0,4.0,.500,1.7,3.0,.556,0.3,1.0,.333,.708,0.0,0.0,,0.3,1.7,2.0,0.0,0.0,0.0,0.3,0.0,5.7
Dillon Brooks,SF,28,HOU,10,10,30.9,4.5,8.4,.536,1.6,3.2,.500,2.9,5.2,.558,.631,2.1,2.6,.808,0.5,3.7,4.2,1.9,1.1,0.1,1.8,3.7,12.7
Bruce Brown,SG,27,IND,11,11,31.5,4.3,9.4,.456,1.5,3.8,.381,2.8,5.5,.508,.534,1.3,1.5,.875,0.7,3.8,4.5,2.7,1.0,0.4,0.9,2.0,11.3
Jaylen Brown,SF,27,BOS,11,11,33.9,8.5,18.1,.472,2.8,7.5,.378,5.7,10.6,.538,.550,3.0,4.1,.733,0.5,4.5,5.0,3.3,1.0,0.5,2.5,2.6,22.9
Kobe Brown,PF,24,LAC,6,0,8.7,1.2,2.3,.500,0.5,1.3,.375,0.7,1.0,.667,.607,0.0,0.0,,0.3,1.0,1.3,0.3,0.2,0.2,0.2,1.3,2.8
Moses Brown,C,24,POR,1,0,5.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,0.0,2.0,.000,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0
Troy Brown Jr.,SF,24,MIN,8,0,7.3,0.4,1.6,.231,0.0,0.9,.000,0.4,0.8,.500,.231,1.3,1.3,1.000,0.4,1.6,2.0,0.5,0.4,0.0,0.4,0.3,2.0
Jalen Brunson,PG,27,NYK,13,13,35.2,8.5,19.4,.437,3.2,6.8,.477,5.2,12.6,.415,.520,4.0,4.7,.852,0.8,2.6,3.4,5.0,0.8,0.0,2.1,1.9,24.2
Thomas Bryant,C,26,MIA,10,1,12.5,2.1,4.0,.525,0.0,0.2,.000,2.1,3.8,.553,.525,1.0,1.3,.769,1.1,2.6,3.7,0.6,0.4,0.3,1.0,1.2,5.2
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,5,0,10.4,0.4,1.6,.250,0.4,1.4,.286,0.0,0.2,.000,.375,0.0,0.0,,0.0,1.4,1.4,0.6,0.2,0.2,0.4,0.8,1.2
Alec Burks,SG,32,DET,7,0,24.3,4.0,10.3,.389,3.1,7.1,.440,0.9,3.1,.273,.542,3.4,4.0,.857,0.7,2.3,3.0,2.7,0.4,0.4,0.1,2.0,14.6
Jared Butler,SG,23,WAS,3,0,3.7,0.3,1.3,.250,0.3,1.0,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,1.0
Jimmy Butler,PF,34,MIA,11,11,33.8,6.9,14.4,.481,1.2,2.6,.448,5.7,11.7,.488,.522,6.9,7.9,.874,2.4,3.2,5.5,3.5,1.4,0.5,1.8,0.7,21.9
Jamal Cain,PF,24,MIA,3,0,10.0,1.3,3.0,.444,0.0,1.3,.000,1.3,1.7,.800,.444,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.3,0.7,2.7
Kentavious Caldwell-Pope,SG,30,DEN,12,12,33.9,3.3,7.0,.476,1.7,3.7,.455,1.7,3.3,.500,.595,1.2,1.3,.875,0.2,1.6,1.8,2.4,1.7,0.6,1.1,2.3,9.5
Toumani Camara,PF,23,POR,12,3,25.3,1.9,5.7,.338,0.7,2.7,.250,1.3,3.0,.417,.397,1.1,1.6,.684,1.9,2.6,4.5,1.3,0.9,0.8,1.1,2.3,5.6
Clint Capela,C,29,ATL,12,12,25.4,4.3,7.1,.600,0.0,0.0,,4.3,7.1,.600,.600,1.7,2.6,.645,3.8,6.0,9.8,1.0,0.8,1.6,0.7,2.3,10.2
Jevon Carter,PG,28,CHI,14,0,14.4,2.4,5.6,.430,1.6,3.7,.442,0.8,1.9,.407,.576,0.0,0.1,.000,0.1,0.5,0.6,1.1,0.6,0.3,0.7,1.2,6.5
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,12,2,24.0,3.3,5.4,.615,1.6,3.2,.500,1.8,2.3,.778,.762,1.3,1.8,.762,1.3,2.3,3.5,2.3,1.5,0.9,1.1,2.8,9.6
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,8,3,14.0,1.5,5.4,.279,1.0,3.4,.296,0.5,2.0,.250,.372,0.6,0.8,.833,0.3,1.1,1.4,1.0,0.6,0.9,1.0,0.4,4.6
Max Christie,SG,20,LAL,9,0,12.6,1.0,3.3,.300,0.2,1.2,.182,0.8,2.1,.368,.333,0.4,0.6,.800,0.2,2.3,2.6,0.6,0.3,0.1,0.8,1.0,2.7
Jordan Clarkson,SG,31,UTA,12,12,31.8,7.2,16.4,.437,2.0,5.9,.338,5.2,10.5,.492,.497,3.0,3.5,.857,1.4,1.9,3.3,4.8,0.9,0.2,3.2,1.4,19.3
Nic Claxton,C,24,BRK,4,4,25.8,4.5,7.3,.621,0.0,0.0,,4.5,7.3,.621,.621,1.3,1.8,.714,2.8,5.3,8.0,2.0,0.5,3.0,0.5,2.3,10.3
Amir Coffey,SF,26,LAC,5,0,7.4,0.4,1.6,.250,0.0,0.4,.000,0.4,1.2,.333,.250,0.8,0.8,1.000,0.0,0.6,0.6,0.4,0.0,0.0,0.4,0.4,1.6
John Collins,PF,26,UTA,12,12,31.5,5.6,10.8,.519,1.5,3.5,.429,4.1,7.3,.563,.589,2.3,3.2,.711,2.8,5.9,8.7,1.0,0.6,1.0,1.2,3.7,14.9
Zach Collins,C,26,SAS,13,13,29.9,5.8,10.6,.551,1.2,3.8,.306,4.7,6.8,.685,.605,2.3,3.0,.769,2.1,4.3,6.4,4.0,0.7,0.9,2.8,3.7,15.2
Mike Conley,PG,36,MIN,12,12,28.8,3.8,7.7,.500,1.8,4.3,.423,2.0,3.3,.600,.620,1.0,1.0,1.000,0.7,2.4,3.1,5.1,0.8,0.1,0.8,1.8,10.5
Pat Connaughton,SF,31,MIL,13,0,23.7,2.3,5.5,.417,1.2,3.6,.340,1.1,1.9,.560,.528,0.6,0.8,.800,0.7,2.9,3.6,2.2,0.5,0.2,0.8,1.2,6.5
Bilal Coulibaly,SF,19,WAS,12,1,26.2,3.0,6.0,.500,1.3,3.1,.432,1.7,2.9,.571,.611,0.8,1.5,.556,0.4,3.6,4.0,2.0,0.9,0.8,1.3,1.8,8.2
Robert Covington,SF-PF,33,TOT,12,6,17.6,1.5,3.8,.391,0.6,2.3,.250,0.9,1.5,.611,.467,0.8,0.8,.900,1.2,1.7,2.8,1.1,1.7,0.5,0.3,1.8,4.3
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,9,3,15.8,1.7,4.1,.405,0.6,2.2,.250,1.1,1.9,.588,.473,0.9,0.9,1.000,1.3,1.6,2.9,0.7,1.6,0.4,0.3,1.7,4.8
Torrey Craig,SF,33,CHI,14,7,22.8,2.1,5.0,.414,0.8,2.4,.324,1.3,2.6,.500,.493,0.4,0.4,1.000,1.9,3.5,5.4,1.4,0.7,0.4,0.5,2.6,5.3
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,13,13,36.0,8.1,20.0,.404,1.8,6.2,.296,6.2,13.8,.453,.450,3.2,3.7,.875,0.5,3.2,3.7,7.4,0.7,0.2,4.9,3.4,21.2
Seth Curry,SG,33,DAL,10,0,10.1,1.2,2.8,.429,0.4,1.5,.267,0.8,1.3,.615,.500,0.6,0.7,.857,0.3,1.0,1.3,0.8,0.6,0.1,0.4,0.6,3.4
Stephen Curry,PG,35,GSW,12,12,33.2,9.4,19.7,.479,5.6,12.5,.447,3.8,7.2,.535,.621,5.8,6.3,.933,0.8,4.0,4.8,3.8,0.9,0.2,3.6,1.6,30.3
Dyson Daniels,PG,20,NOP,13,6,27.7,3.5,7.5,.474,1.0,2.9,.342,2.5,4.5,.559,.541,0.8,1.5,.579,1.2,3.9,5.1,3.8,1.5,0.4,1.5,2.0,8.9
Anthony Davis,C,30,LAL,12,12,35.9,8.0,15.6,.513,0.3,0.8,.300,7.8,14.8,.525,.521,5.3,6.1,.877,3.0,8.8,11.8,3.3,0.8,3.5,2.1,3.0,21.6
Johnny Davis,SG,21,WAS,7,0,9.3,2.0,3.7,.538,0.1,0.3,.500,1.9,3.4,.542,.558,0.3,0.4,.667,0.4,0.7,1.1,0.3,0.7,0.1,0.3,0.9,4.4
DeMar DeRozan,SF,34,CHI,13,13,35.4,7.5,17.0,.443,0.8,2.3,.367,6.7,14.7,.455,.468,5.5,6.8,.809,1.1,2.1,3.2,4.3,1.1,0.9,1.2,2.0,21.5
Moussa Diabaté,C,22,LAC,6,0,7.5,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,0.8,1.0,.833,1.7,0.8,2.5,0.7,0.3,0.0,0.3,0.7,3.5
Gradey Dick,SG,20,TOR,12,1,15.7,1.3,4.7,.268,0.7,3.0,.222,0.6,1.7,.350,.339,0.8,0.8,1.000,0.6,1.0,1.6,1.1,0.3,0.0,0.9,1.7,4.0
Ousmane Dieng,PF,20,OKC,10,0,11.3,1.3,3.4,.382,0.7,2.5,.280,0.6,0.9,.667,.485,0.3,0.4,.750,0.5,1.5,2.0,0.9,0.1,0.0,0.4,0.6,3.6
Spencer Dinwiddie,PG,30,BRK,11,11,28.5,4.0,9.4,.427,2.4,6.1,.388,1.6,3.3,.500,.553,1.9,2.9,.656,0.4,3.1,3.5,5.4,0.4,0.1,1.4,1.5,12.3
Donte DiVincenzo,SG,27,NYK,13,2,20.7,3.2,7.5,.433,2.0,5.0,.400,1.2,2.5,.500,.567,0.5,0.9,.583,0.9,2.2,3.1,1.8,1.0,0.4,1.2,1.5,9.0
Luka Dončić,PG,24,DAL,13,13,34.8,10.7,21.0,.509,4.2,9.8,.422,6.5,11.2,.586,.608,5.5,7.4,.740,0.7,7.2,7.8,8.2,1.0,0.4,4.3,1.7,31.0
Luguentz Dort,SF,24,OKC,13,13,29.1,3.8,8.1,.467,2.0,4.5,.448,1.8,3.6,.489,.590,2.2,2.7,.800,1.2,3.3,4.5,1.2,1.2,0.9,1.0,2.8,11.7
Ayo Dosunmu,SG,24,CHI,12,0,14.9,1.9,4.0,.479,0.8,1.9,.391,1.2,2.1,.560,.573,0.4,0.5,.833,0.5,1.0,1.5,1.3,0.4,0.1,0.5,1.2,5.0
Andre Drummond,C,30,CHI,14,0,13.8,2.6,4.6,.569,0.0,0.1,.000,2.6,4.6,.578,.569,1.1,1.8,.640,2.6,3.6,6.3,0.6,1.4,0.3,1.1,1.6,6.4
Chris Duarte,SF,26,SAC,11,0,13.4,1.5,4.1,.356,0.8,2.5,.321,0.6,1.5,.412,.456,0.7,1.0,.727,0.1,1.3,1.4,0.9,0.6,0.1,0.6,2.8,4.5
Kris Dunn,PG,29,UTA,10,0,10.3,1.3,3.2,.406,0.3,0.8,.375,1.0,2.4,.417,.453,0.4,0.6,.667,0.3,1.5,1.8,2.0,0.5,0.0,1.1,1.3,3.3
Kevin Durant,PF,35,PHO,12,12,36.3,10.6,20.0,.529,2.2,4.3,.500,8.4,15.7,.537,.583,7.4,8.6,.864,0.4,6.8,7.2,5.1,0.8,1.1,3.7,1.7,30.8
Jalen Duren,C,20,DET,8,8,28.9,5.8,9.3,.622,0.0,0.1,.000,5.8,9.1,.630,.622,1.1,1.5,.750,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6
Tari Eason,PF,22,HOU,4,0,17.3,3.5,7.8,.452,0.8,2.0,.375,2.8,5.8,.478,.500,0.0,0.5,.000,2.0,4.5,6.5,1.0,0.5,1.3,0.8,2.0,7.8
Anthony Edwards,SG,22,MIN,12,12,35.0,9.5,20.3,.467,2.6,6.7,.388,6.9,13.7,.506,.531,4.4,5.3,.828,0.8,4.8,5.6,5.1,1.3,0.3,3.5,1.9,26.0
Kessler Edwards,SF,23,SAC,8,0,4.5,0.1,0.8,.167,0.1,0.5,.250,0.0,0.3,.000,.250,0.1,0.3,.500,0.0,0.6,0.6,0.4,0.1,0.1,0.1,0.6,0.5
Keon Ellis,SG,24,SAC,8,2,12.5,1.3,3.3,.385,0.6,2.5,.250,0.6,0.8,.833,.481,0.8,1.4,.545,0.4,1.1,1.5,1.0,0.8,0.5,0.8,1.1,3.9
Joel Embiid,C,29,PHI,12,12,34.3,10.7,21.1,.506,1.1,3.5,.310,9.6,17.6,.545,.532,9.5,10.8,.884,3.3,7.8,11.1,6.0,1.0,1.6,3.8,2.7,31.9
Drew Eubanks,C,26,PHO,12,0,19.0,3.3,5.0,.667,0.2,0.2,1.000,3.2,4.8,.655,.683,1.3,1.6,.789,1.5,3.4,4.9,1.9,0.3,1.3,1.3,2.1,8.1
Dante Exum,PG,28,DAL,12,0,9.5,1.8,3.8,.489,0.3,0.9,.273,1.6,2.8,.559,.522,0.3,0.6,.571,0.3,1.8,2.1,1.3,0.3,0.2,0.2,1.1,4.3
Bruno Fernando,C,25,ATL,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
Dorian Finney-Smith,PF,30,BRK,12,11,30.5,4.3,9.1,.477,3.0,6.6,.456,1.3,2.5,.533,.642,0.1,0.3,.333,1.9,3.4,5.3,1.3,0.3,0.7,1.1,2.5,11.8
Malachi Flynn,PG,25,TOR,12,0,16.6,2.0,4.8,.421,1.0,2.8,.364,1.0,2.0,.500,.526,0.6,0.7,.875,0.5,1.3,1.8,2.4,0.8,0.1,1.1,1.3,5.6
Simone Fontecchio,SF,28,UTA,10,0,11.2,1.9,3.9,.487,1.1,2.7,.407,0.8,1.2,.667,.628,0.0,0.0,,0.6,1.2,1.8,0.4,0.2,0.2,0.9,1.0,4.9
Jordan Ford,PG,25,SAC,4,0,3.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.8
